City Name,Population
Shanghai,22315474
Beijing,11716620
Tianjin,11090314
Guangzhou,11071424
Shenzhen,10358381
Wuhan,9785388
Dongguan,8000000
Chongqing,7457600
Chengdu,7415590
Nanjing,7165292
Nanchong,7150000
Xi'an,6501190
Shenyang,6255921
Hangzhou,6241971
Harbin,5878939
Tai'an,5499000
Suzhou,5345961
Shantou,5329024
Jinan,4335989
Zhengzhou,4253913
Changchun,4193073
Dalian,4087733
Kunming,3855346
Qingdao,3718835
Foshan,3600000
Puyang,3590000
Wuxi,3543719
Xiamen,3531347
Tianshui,3500000
Ningbo,3491597
Shiyan,3460000
Taiyuan,3426519
Tangshan,3372102
Hefei,3310268
Zibo,3129228
Zhongshan,3121275
Changsha,3093980
Urumqi,3029372
Shijiazhuang,2834942
Lanzhou,2628426
Yunfu,2612800
Nanchang,2357839
Dadonghai,2000000
Ordos,1940653
Jilin,1881977
Bayan Nur,1760000
Kunshan,1600000
Xinyang,1590668
Fushun,1400646
Luoyang,1390581
Guankou,1380000
Handan,1358318
Baotou,1301768
Xuchang,1265536
Yueyang,1200000
Anshan,1199275
Tongshan,1199193
Fuzhou,1179720
Guiyang,1171633
Lijiang,1137600
Datong,1052678
Changshu City,1047700
Xianyang,1034081
Huainan,1027655
Jieyang,1001985
Zhu Cheng City,1000000
Baoding,995652
Benxi,987717
Changzhou,949018
Huaibei,903039
